Title,Review,Year Of Release,Certificate Rating
Thor: Love and Thunder,6.9,2022,UA
The Umbrella Academy,8.0,2019–2022,16+
Ms. Marvel,6.2,2022– ,UA 13+
Everything Everywhere All at Once,8.2,2022,R
The Unbearable Weight of Massive Talent,7.1,2022,A
Thor: Ragnarok,7.9,2017,UA
Barry,8.4,2018– ,15+
"Love, Death & Robots",8.4,2019– ,18
The Lost City,6.1,2022,UA
Basutado!! Ankoku no hakaishin,6.8,2022– ,A
One Piece: Wan pîsu,8.8,1999– ,7
Sonic the Hedgehog 2,6.6,2022,7
Our Flag Means Death,7.8,2022– , 
Free Guy,7.1,2021,UA
Baymax!,6.6,2022– ,UA 7+
WandaVision,7.9,2021,12+
DC League of Super-Pets, ,2022,PG
Spy x Family,8.7,2022– ,Not Rated
Cobra Kai,8.6,2018– ,A
The Gentlemen,7.8,2019,A
American Made,7.1,2017,A
The Adam Project,6.7,2022,13
The Suicide Squad,7.2,2021,A
Guardians of the Galaxy,8.0,2014,UA
Spree,5.9,2020, 
Blasted,4.8,2022,UA 16+
Paws of Fury: The Legend of Hank,5.9,2022,UA
Peacemaker,8.4,2022– , 
She-Hulk: Attorney at Law, ,2022– , 
Diabolical,6.9,2022– ,A
Shazam! Fury of the Gods, ,2022, 
Harley Quinn,8.5,2019– , 
Deadpool,8.0,2016,R
Red Notice,6.3,2021,13
Ghostbusters,7.8,1984,UA
Shoresy,8.5,2022, 
Doom Patrol,7.8,2019– ,18
Big Hero 6,7.8,2014,U
Archer,8.6,2009– ,18
Spider-Man: Into the Spider-Verse,8.4,2018,U
Guardians of the Galaxy Vol. 2,7.6,2017,UA
Deadpool 2,7.7,2018,R
Gravity Falls,8.9,2012–2016,PG
The Heat,6.6,I) (2013,A
Naruto: Shippûden,8.7,2007–2017,7
Guardians of the Galaxy Vol. 3, ,2023, 
Jumanji: The Next Level,6.7,2019,UA
Operation Fortune: Ruse de guerre,6.9,2022, 
Hunter x Hunter,9.0,2011–2014,16
Sonic the Hedgehog,6.5,2020,U
