Title,Review,Year Of Release,Certificate Rating
Thor: Love and Thunder,6.9,2022,UA
The Boys,8.7,2019– ,18+
The Terminal List,8.1,2022– ,A
The Umbrella Academy,8.0,2019–2022,16+
Top Gun: Maverick,8.6,2022,UA
The Old Man,8.4,2022– , 
Doctor Strange in the Multiverse of Madness,7.0,2022,UA
Ms. Marvel,6.2,2022– ,UA 13+
Jurassic World Dominion,5.8,2022,UA
Obi-Wan Kenobi,7.1,2022,UA 13+
The Princess,5.5,I) (2022,A
Game of Thrones,9.2,2011–2019,A
Star Trek: Strange New Worlds,8.2,2022– ,Not Rated
Top Gun,6.9,1986,U
Everything Everywhere All at Once,8.2,2022,R
The Man from Toronto,5.8,2022,UA 13+
Independence Day,7.0,1996,UA
Spiderhead,5.4,2022,A
Lightyear,5.3,2022,U
Rocketry: The Nambi Effect,9.2,2022,UA
The Batman,7.9,2022,UA
The Northman,7.2,2022,R
The Lord of the Rings: The Rings of Power, ,2022– ,UA 13+
The Unbearable Weight of Massive Talent,7.1,2022,A
Thor: Ragnarok,7.9,2017,UA
Barry,8.4,2018– ,15+
NCIS: Naval Criminal Investigative Service,7.8,2003– ,16
Spider-Man: No Way Home,8.3,2021,UA
The Mandalorian,8.7,2019– ,U
Fantastic Beasts: The Secrets of Dumbledore,6.2,2022,UA
"Love, Death & Robots",8.4,2019– ,18
The Woman King, ,2022, 
The Flash,7.6,2014– ,12+
The Lost City,6.1,2022,UA
Bullet Train, ,2022, 
Monster High,1.7,2022 TV Movie, 
No Time to Die,7.3,2021,UA
Vikings,8.5,2013–2020,A
Morbius,5.2,2022,UA
The Gray Man,6.8,2022,UA 16+
RRR (Rise Roar Revolt),8.0,2022,UA
Major,8.4,2022,UA
Moon Knight,7.4,2022,UA 13+
The Last Kingdom,8.5,2015–2022,18+
Jurassic Park,8.2,1993,UA
Reacher,8.1,2022– ,A
Avatar: The Way of Water, ,2022, 
Shingeki no Kyojin,9.0,2013–2023,13
Thor,7.0,2011,UA
Uncharted,6.4,2022,UA
