Title,Review,Year Of Release,Certificate Rating
Thor: Love and Thunder,6.9,2022,UA
The Umbrella Academy,8.0,2019–2022,16+
Minions: The Rise of Gru,7.0,2022,U
Doctor Strange in the Multiverse of Madness,7.0,2022,UA
Ms. Marvel,6.2,2022– ,UA 13+
Jurassic World Dominion,5.8,2022,UA
Sing 2,7.4,2021,U
Obi-Wan Kenobi,7.1,2022,UA 13+
Game of Thrones,9.2,2011–2019,A
Star Trek: Strange New Worlds,8.2,2022– ,Not Rated
Everything Everywhere All at Once,8.2,2022,R
The Man from Toronto,5.8,2022,UA 13+
The Bad Guys,6.9,2022,U
The Orville,8.0,2017– ,12+
Independence Day,7.0,1996,UA
Barbie, ,2023, 
Lightyear,5.3,2022,U
The Northman,7.2,2022,R
The Lord of the Rings: The Rings of Power, ,2022– ,UA 13+
Thor: Ragnarok,7.9,2017,UA
The Sea Beast,7.1,2022,UA 7+
Spider-Man: No Way Home,8.3,2021,UA
The Mandalorian,8.7,2019– ,U
Fantastic Beasts: The Secrets of Dumbledore,6.2,2022,UA
"Love, Death & Robots",8.4,2019– ,18
The Flash,7.6,2014– ,12+
The Lost City,6.1,2022,UA
Monster High,1.7,2022 TV Movie, 
No Time to Die,7.3,2021,UA
Vikings,8.5,2013–2020,A
Morbius,5.2,2022,UA
Doctor Who,8.6,2005– ,U
Moon Knight,7.4,2022,UA 13+
Jurassic Park,8.2,1993,UA
Avatar: The Way of Water, ,2022, 
Lost,8.3,2004–2010,A
Shingeki no Kyojin,9.0,2013–2023,13
Thor,7.0,2011,UA
Uncharted,6.4,2022,UA
Minions,6.4,2015,U
Halo,7.0,2022– ,UA 13+
Dune: Part One,8.0,2021,UA
Ghostbusters: Afterlife,7.1,2021,UA
Jaws,8.1,1975,A
Avengers: Endgame,8.4,2019,UA
Basutado!! Ankoku no hakaishin,6.8,2022– ,A
House of the Dragon, ,2022– , 
Rick and Morty,9.2,2013– ,16+
Legacies,7.3,2018–2022,UA
Star Wars: The Clone Wars,8.4,2008–2020,PG
