Title,Review,Year Of Release,Certificate Rating
Minions: The Rise of Gru,7.0,2022,U
Sing 2,7.4,2021,U
The Bad Guys,6.9,2022,U
Lightyear,5.3,2022,U
The Sea Beast,7.1,2022,UA 7+
"Love, Death & Robots",8.4,2019– ,18
Shingeki no Kyojin,9.0,2013–2023,13
Minions,6.4,2015,U
Basutado!! Ankoku no hakaishin,6.8,2022– ,A
Rick and Morty,9.2,2013– ,16+
Star Wars: The Clone Wars,8.4,2008–2020,PG
Family Guy,8.2,1999– ,16
The Simpsons,8.7,1989– ,U
One Piece: Wan pîsu,8.8,1999– ,7
Despicable Me,7.6,2010,U
The Quarry,8.2,2022 Video Game, 
Beavis and Butt-Head Do the Universe,7.0,2022, 
Baymax!,6.6,2022– ,UA 7+
Invincible,8.7,2021– ,18
Mad God,6.8,2021, 
DC League of Super-Pets, ,2022,PG
Arcane: League of Legends,9.0,2021– ,16
Spy x Family,8.7,2022– ,Not Rated
Encanto,7.2,2021,U
Sing,7.1,2016,U
South Park,8.7,1997– ,18+
Chip 'n Dale: Rescue Rangers,7.0,2022,UA 7+
Demon Slayer: Kimetsu No Yaiba,8.7,2019– ,16
BoJack Horseman,8.8,2014–2020,18+
Bob's Burgers,8.2,2011– ,U
Turning Red,7.0,2022,UA 7+
Luck, ,I) (2022,G
Doragon boru supa supa hiro,7.3,2022, 
Paws of Fury: The Legend of Hank,5.9,2022,UA
Despicable Me 3,6.2,2017,U
Avatar: The Last Airbender,9.3,2005–2008,U
Diabolical,6.9,2022– ,A
Despicable Me 2,7.3,2013,U
Harley Quinn,8.5,2019– , 
Marcel the Shell with Shoes On,8.2,2021,PG
Star Wars: Rebels,8.0,2014–2018,UA 7+
What If...?,7.4,2021– ,7
Big Hero 6,7.8,2014,U
Archer,8.6,2009– ,18
Spider-Man: Into the Spider-Verse,8.4,2018,U
Gravity Falls,8.9,2012–2016,PG
Naruto: Shippûden,8.7,2007–2017,7
Futurama,8.5,1999–2023,U
Hunter x Hunter,9.0,2011–2014,16
Moana,7.6,I) (2016,U
