Title,Review,Year Of Release,Certificate Rating
Thor: Love and Thunder,6.9,2022,UA
Barbie, ,2023, 
Friends,8.9,1994–2004,13+
Modern Family,8.5,2009–2020,12+
The Lost City,6.1,2022,UA
The Big Bang Theory,8.2,2007–2019,U
Hocus Pocus 2, ,2022,PG
This Is Us,8.7,2016–2022,16
Father of the Bride,5.9,2022,PG-13
Bones,7.8,2005–2017,15+
Ticket to Paradise, ,2022,PG-13
Castle,8.1,2009–2016,A
How I Met Your Mother,8.3,2005–2014,15+
Jug Jugg Jeeyo,7.4,2022,UA
Love & Gelato,5.1,2022,UA 13+
"Hello, Goodbye and Everything in Between",4.9,2022,UA 13+
Our Flag Means Death,7.8,2022– , 
The O.C.,7.5,2003–2007,18
WandaVision,7.9,2021,12+
Mr. Malcolm's List,5.9,2022,PG
Two and a Half Men,7.1,2003–2015,16+
Licorice Pizza,7.3,2021,A
New Girl,7.7,2011–2018,15+
Sex/Life,5.4,2021– ,18
Verdens verste menneske,7.9,2021,R
Sex and the City,7.2,1998–2004,A
Zoey 101,6.1,2005–2008, 
Marry Me,6.1,2022,UA
Elf,7.0,2003,U
Sen Çal Kapimi,7.1,2020–2021,12+
The Girl Next Door,6.7,2004,A
Sixteen Candles,7.0,1984,U
The French Dispatch,7.2,2021,A
"Love, Victor",8.0,2020–2022, 
Nude Tuesday,5.8,2022, 
The Good Place,8.2,2016–2020,13+
Fire Island,6.7,2022,R
Grease,7.2,1978,A
Desperate Housewives,7.6,2004–2012, 
Mom,7.3,2013–2021,16+
Don Jon,6.5,2013,13
Pitch Perfect,7.1,2012,U
Misfits,8.2,2009–2013,UA
Asteroid City, ,2022, 
The Music Man,7.8,1962,G
Clueless,6.9,1995,U
Emily in Paris,6.9,2020– ,16
Career Opportunities,5.8,1991,U
Everything I Know About Love,7.6,2022– , 
That '70s Show,8.1,1998–2006,18
