Title,Review,Year Of Release,Certificate Rating
Thor: Love and Thunder,6.9,2022,UA
The Umbrella Academy,8.0,2019–2022,16+
Minions: The Rise of Gru,7.0,2022,U
Only Murders in the Building,8.1,2021– ,UA 16+
Ms. Marvel,6.2,2022– ,UA 13+
Sing 2,7.4,2021,U
Everything Everywhere All at Once,8.2,2022,R
The Bad Guys,6.9,2022,U
The Orville,8.0,2017– ,12+
Barbie, ,2023, 
Hustle,7.4,2022,UA 16+
The Office,9.0,2005–2013,U
Maggie,7.0,2022– ,UA 13+
Man vs. Bee,6.8,2022– ,UA 7+
The Unbearable Weight of Massive Talent,7.1,2022,A
Thor: Ragnarok,7.9,2017,UA
Barry,8.4,2018– ,15+
The Sea Beast,7.1,2022,UA 7+
Loot,6.3,2022– ,A
Friends,8.9,1994–2004,13+
See How They Run, ,2022,PG-13
Ted Lasso,8.8,2020– ,A
"Love, Death & Robots",8.4,2019– ,18
Once Upon a Time in... Hollywood,7.6,2019,A
Shameless,8.6,2011–2021,18+
Modern Family,8.5,2009–2020,12+
The Lost City,6.1,2022,UA
The Big Bang Theory,8.2,2007–2019,U
Seinfeld,8.9,1989–1998,13
Clerks III, ,2022,R
Suits,8.5,2011–2019,13+
Old School,7.0,2003,UA
Hocus Pocus 2, ,2022,PG
This Is Us,8.7,2016–2022,16
Father of the Bride,5.9,2022,PG-13
"Good Luck to You, Leo Grande",7.1,2022,R
Minions,6.4,2015,U
Ghostbusters: Afterlife,7.1,2021,UA
It's Always Sunny in Philadelphia,8.8,2005– ,15+
Bones,7.8,2005–2017,15+
Ticket to Paradise, ,2022,PG-13
What We Do in the Shadows,8.6,2019– ,15+
Basutado!! Ankoku no hakaishin,6.8,2022– ,A
Irma Vep,6.4,2022,18
Brooklyn Nine-Nine,8.4,2013–2021,13+
Rick and Morty,9.2,2013– ,16+
Castle,8.1,2009–2016,A
Hacks,8.2,2021– , 
How I Met Your Mother,8.3,2005–2014,15+
Sex Education,8.4,2019– ,A
