Title,Review,Year Of Release,Certificate Rating
The Boys,8.7,2019– ,18+
Minions: The Rise of Gru,7.0,2022,U
Only Murders in the Building,8.1,2021– ,UA 16+
Ms. Marvel,6.2,2022– ,UA 13+
Better Call Saul,8.8,2015–2022,16+
Peaky Blinders,8.8,2013–2022,A
Black Bird,8.4,2022,A
The Bad Guys,6.9,2022,U
Breaking Bad,9.5,2008–2013,18
The Godfather,9.2,1972,A
Spiderhead,5.4,2022,A
The Batman,7.9,2022,UA
Dark Winds,8.0,2022– ,18
Ozark,8.5,2017–2022,16+
The Sopranos,9.2,1999–2007,15+
Animal Kingdom,8.2,2016–2022,18
House of Gucci,6.6,2021,A
The Unbearable Weight of Massive Talent,7.1,2022,A
Sherwood,7.5,II) (2022– , 
Barry,8.4,2018– ,15+
The Lincoln Lawyer,7.7,2022– ,UA 16+
NCIS: Naval Criminal Investigative Service,7.8,2003– ,16
Girl in the Picture,7.3,2022,UA 16+
The Staircase,7.2,2022,18
Under the Banner of Heaven,7.5,2022,U
Law & Order: Special Victims Unit,8.1,1999– , 
Criminal Minds,8.1,2005–2020, 
The Blacklist,8.0,2013– ,16+
The Wire,9.3,2002–2008,15+
Lucifer,8.1,2016–2021,15
True Detective,8.9,2014–2019,A
Reacher,8.1,2022– ,A
Endeavour,8.6,2012–2021, 
Death on the Nile,6.3,2022,UA
Minions,6.4,2015,U
Midsomer Murders,7.9,1997– ,16
Banshee,8.4,2013–2016,18
La casa de papel,8.2,2017–2021,16+
Bones,7.8,2005–2017,15+
Evil,7.7,2019– ,13
Money Heist: Korea - Joint Economic Area,5.2,2022– ,A
Goodfellas,8.7,1990,A
Brooklyn Nine-Nine,8.4,2013–2021,13+
Castle,8.1,2009–2016,A
Dark,8.7,2017–2020,16+
We Own This City,7.6,2022,A
Fargo,8.9,2014– ,16+
McDonald & Dodds,7.4,2020– , 
The X Files,8.6,1993–2018, 
Blue Bloods,7.7,2010– , 
