Title,Review,Year Of Release,Certificate Rating
Stranger Things,8.7,2016– ,15
The Boys,8.7,2019– ,18+
The Terminal List,8.1,2022– ,A
The Umbrella Academy,8.0,2019–2022,16+
Elvis,7.8,2022,UA
Top Gun: Maverick,8.6,2022,UA
Westworld,8.6,2016– ,A
Amsterdam, ,2022, 
The Old Man,8.4,2022– , 
Only Murders in the Building,8.1,2021– ,UA 16+
Ms. Marvel,6.2,2022– ,UA 13+
The Bear,8.5,2022– , 
Better Call Saul,8.8,2015–2022,16+
Peaky Blinders,8.8,2013–2022,A
The Princess,5.5,I) (2022,A
Game of Thrones,9.2,2011–2019,A
Top Gun,6.9,1986,U
The Summer I Turned Pretty,7.5,2022– ,UA 16+
Yellowstone,8.7,2018– ,18
Black Bird,8.4,2022,A
The Orville,8.0,2017– ,12+
Breaking Bad,9.5,2008–2013,18
The Godfather,9.2,1972,A
Hustle,7.4,2022,UA 16+
Last Night in Soho,7.1,2021,A
Spiderhead,5.4,2022,A
Lightyear,5.3,2022,U
The Walking Dead,8.2,2010–2022,18+
Rocketry: The Nambi Effect,9.2,2022,UA
The Batman,7.9,2022,UA
Grey's Anatomy,7.6,2005– ,15+
Dark Winds,8.0,2022– ,18
Supernatural,8.4,2005–2020,16+
The Northman,7.2,2022,R
Ozark,8.5,2017–2022,16+
The Lord of the Rings: The Rings of Power, ,2022– ,UA 13+
For All Mankind,7.9,2019– ,A
Manifest,7.1,2018– ,16
The Offer,8.7,2022,UA 13+
Severance,8.7,2022– ,A
The Sopranos,9.2,1999–2007,15+
Where the Crawdads Sing,6.9,2022,PG-13
Animal Kingdom,8.2,2016–2022,18
House of Gucci,6.6,2021,A
Sherwood,7.5,II) (2022– , 
Barry,8.4,2018– ,15+
The Lincoln Lawyer,7.7,2022– ,UA 16+
Terror on the Prairie,5.9,2022, 
NCIS: Naval Criminal Investigative Service,7.8,2003– ,16
The Undeclared War,6.5,2022– , 
