Title,Review,Year Of Release,Certificate Rating
Stranger Things,8.7,2016– ,15
Thor: Love and Thunder,6.9,2022,UA
The Umbrella Academy,8.0,2019–2022,16+
Doctor Strange in the Multiverse of Madness,7.0,2022,UA
Ms. Marvel,6.2,2022– ,UA 13+
The Princess,5.5,I) (2022,A
Game of Thrones,9.2,2011–2019,A
Everything Everywhere All at Once,8.2,2022,R
Barbie, ,2023, 
Supernatural,8.4,2005–2020,16+
The Northman,7.2,2022,R
The Lord of the Rings: The Rings of Power, ,2022– ,UA 13+
Thor: Ragnarok,7.9,2017,UA
The Sea Beast,7.1,2022,UA 7+
Spider-Man: No Way Home,8.3,2021,UA
The Mandalorian,8.7,2019– ,U
Fantastic Beasts: The Secrets of Dumbledore,6.2,2022,UA
Men,6.1,2022,R
"Love, Death & Robots",8.4,2019– ,18
Monster High,1.7,2022 TV Movie, 
Moon Knight,7.4,2022,UA 13+
Outlander,8.4,2014– ,A
The Sandman, ,2022– , 
Lucifer,8.1,2016–2021,15
Hocus Pocus 2, ,2022,PG
The Time Traveler's Wife,7.7,2022,UA 16+
Lost,8.3,2004–2010,A
Shingeki no Kyojin,9.0,2013–2023,13
Thor,7.0,2011,UA
Ghostbusters: Afterlife,7.1,2021,UA
What We Do in the Shadows,8.6,2019– ,15+
Basutado!! Ankoku no hakaishin,6.8,2022– ,A
House of the Dragon, ,2022– , 
The Vampire Diaries,7.7,2009–2017,16+
Legacies,7.3,2018–2022,UA
Star Wars: The Clone Wars,8.4,2008–2020,PG
Eternals,6.3,2021,UA
One Piece: Wan pîsu,8.8,1999– ,7
Hellboy,5.2,2019,R
The Witcher,8.2,2019– , 
Star Wars,8.6,1977,U
Sonic the Hedgehog 2,6.6,2022,7
Free Guy,7.1,2021,UA
Thor: The Dark World,6.8,2013,UA
WandaVision,7.9,2021,12+
Invincible,8.7,2021– ,18
Mad God,6.8,2021, 
God's Favorite Idiot,5.7,2022– ,UA 16+
Buffy the Vampire Slayer,8.3,1997–2003,A
Paper Girls, ,2022– , 
