Title,Review,Year Of Release,Certificate Rating
Stranger Things,8.7,2016– ,15
Doctor Strange in the Multiverse of Madness,7.0,2022,UA
The Black Phone,7.2,2021,A
Last Night in Soho,7.1,2021,A
The Walking Dead,8.2,2010–2022,18+
Nope, ,2022,R
Supernatural,8.4,2005–2020,16+
X,6.6,II) (2022,R
Men,6.1,2022,R
"Love, Death & Robots",8.4,2019– ,18
Crimes of the Future,5.9,2022,R
Morbius,5.2,2022,UA
The Sandman, ,2022– , 
Hocus Pocus 2, ,2022,PG
American Horror Story,8.0,2011– ,A
Watcher,6.3,I) (2022,R
Shingeki no Kyojin,9.0,2013–2023,13
What We Do in the Shadows,8.6,2019– ,15+
Evil,7.7,2019– ,13
The Vampire Diaries,7.7,2009–2017,16+
Legacies,7.3,2018–2022,UA
It,7.3,I) (2017,A
The Mist,7.1,2007,13
Hellboy,5.2,2019,R
The Quarry,8.2,2022 Video Game, 
Midsommar,7.1,2019,A
Old,5.8,2021,UA
Mad God,6.8,2021, 
First Kill,6.4,2022– ,A
Scream,6.4,I) (2022,A
Paper Girls, ,2022– , 
American Psycho,7.6,2000,A
The Twilight Zone,9.1,1959–1964, 
Yellowjackets,7.9,2021– ,UA 16+
Hocus Pocus,6.9,1993,U
Incantation,6.3,II) (2022,A
Spree,5.9,2020, 
Resident Evil: Welcome to Raccoon City,5.2,2021,A
Overlord,6.6,2018,18
The Mortal Instruments: City of Bones,5.8,2013,A
Fear the Walking Dead,6.8,2015– ,16+
The Shining,8.4,1980,A
The Midwich Cuckoos,6.6,2022– , 
The Baby,6.2,2022,A
It Chapter Two,6.5,2019,A
The Thing,8.2,1982,A
Get Out,7.7,I) (2017,15+
Winnie-The-Pooh: Blood and Honey, ,, 
The Munsters, ,2022,PG
Alien,8.5,1979,R
