Title,Review,Year Of Release,Certificate Rating
Stranger Things,8.7,2016– ,15
Westworld,8.6,2016– ,A
Only Murders in the Building,8.1,2021– ,UA 16+
Ms. Marvel,6.2,2022– ,UA 13+
Last Night in Soho,7.1,2021,A
The Batman,7.9,2022,UA
Nope, ,2022,R
Supernatural,8.4,2005–2020,16+
Manifest,7.1,2018– ,16
Severance,8.7,2022– ,A
Where the Crawdads Sing,6.9,2022,PG-13
Sherwood,7.5,II) (2022– , 
The Lincoln Lawyer,7.7,2022– ,UA 16+
NCIS: Naval Criminal Investigative Service,7.8,2003– ,16
See How They Run, ,2022,PG-13
Girl in the Picture,7.3,2022,UA 16+
"Love, Death & Robots",8.4,2019– ,18
The Staircase,7.2,2022,18
Under the Banner of Heaven,7.5,2022,U
Law & Order: Special Victims Unit,8.1,1999– , 
Criminal Minds,8.1,2005–2020, 
The Blacklist,8.0,2013– ,16+
Black Mirror,8.8,2011–2019,A
The Sandman, ,2022– , 
True Detective,8.9,2014–2019,A
Hocus Pocus 2, ,2022,PG
Endeavour,8.6,2012–2021, 
Lost,8.3,2004–2010,A
Death on the Nile,6.3,2022,UA
Midsomer Murders,7.9,1997– ,16
Banshee,8.4,2013–2016,18
La casa de papel,8.2,2017–2021,16+
House M.D.,8.7,2004–2012,UA
Bones,7.8,2005–2017,15+
Evil,7.7,2019– ,13
Money Heist: Korea - Joint Economic Area,5.2,2022– ,A
The Vampire Diaries,7.7,2009–2017,16+
Castle,8.1,2009–2016,A
Legacies,7.3,2018–2022,UA
Dark,8.7,2017–2020,16+
McDonald & Dodds,7.4,2020– , 
The X Files,8.6,1993–2018, 
Blue Bloods,7.7,2010– , 
The Witcher,8.2,2019– , 
The Flight Attendant,7.1,2020–2022, 
Midsommar,7.1,2019,A
Riverdale,6.6,2017– ,13+
The Mentalist,8.1,2008–2015,16+
Law & Order,7.8,1990– , 
Old,5.8,2021,UA
