Title,Review,Year Of Release,Certificate Rating
Thor: Love and Thunder,6.9,2022,UA
The Summer I Turned Pretty,7.5,2022– ,UA 16+
Barbie, ,2023, 
Grey's Anatomy,7.6,2005– ,15+
Friends,8.9,1994–2004,13+
Modern Family,8.5,2009–2020,12+
The Lost City,6.1,2022,UA
The Big Bang Theory,8.2,2007–2019,U
Vikings,8.5,2013–2020,A
Outlander,8.4,2014– ,A
365 dni,3.3,2020,A
Hocus Pocus 2, ,2022,PG
This Is Us,8.7,2016–2022,16
The Time Traveler's Wife,7.7,2022,UA 16+
Father of the Bride,5.9,2022,PG-13
Bridgerton,7.3,2020– ,18
Downton Abbey,8.7,2010–2015,7+
Downton Abbey: A New Era,7.5,2022,UA
Bones,7.8,2005–2017,15+
Ticket to Paradise, ,2022,PG-13
House of the Dragon, ,2022– , 
The Vampire Diaries,7.7,2009–2017,16+
Castle,8.1,2009–2016,A
How I Met Your Mother,8.3,2005–2014,15+
ER,7.8,1994–2009, 
Jug Jugg Jeeyo,7.4,2022,UA
One Tree Hill,7.7,2003–2012,13
Love & Gelato,5.1,2022,UA 13+
"Hello, Goodbye and Everything in Between",4.9,2022,UA 13+
Our Flag Means Death,7.8,2022– , 
Superman & Lois,7.8,2021– , 
The O.C.,7.5,2003–2007,18
Riverdale,6.6,2017– ,13+
WandaVision,7.9,2021,12+
Mr. Malcolm's List,5.9,2022,PG
Titanic,7.9,1997,UA
Two and a Half Men,7.1,2003–2015,16+
Forrest Gump,8.8,1994,UA
Outer Banks,7.5,2020– ,18
Buffy the Vampire Slayer,8.3,1997–2003,A
Fifty Shades of Grey,4.1,2015,(Banned)
Licorice Pizza,7.3,2021,A
New Girl,7.7,2011–2018,15+
Sex/Life,5.4,2021– ,18
Heartstopper,8.7,2022– ,UA 13+
Verdens verste menneske,7.9,2021,R
You,7.7,2018– ,16+
Virgin River,7.4,2019– ,13+
Sex and the City,7.2,1998–2004,A
Zoey 101,6.1,2005–2008, 
