Title,Review,Year Of Release,Certificate Rating
Stranger Things,8.7,2016– ,15
Thor: Love and Thunder,6.9,2022,UA
The Boys,8.7,2019– ,18+
The Umbrella Academy,8.0,2019–2022,16+
Minions: The Rise of Gru,7.0,2022,U
Westworld,8.6,2016– ,A
Doctor Strange in the Multiverse of Madness,7.0,2022,UA
Ms. Marvel,6.2,2022– ,UA 13+
Jurassic World Dominion,5.8,2022,UA
Obi-Wan Kenobi,7.1,2022,UA 13+
Star Trek: Strange New Worlds,8.2,2022– ,Not Rated
Everything Everywhere All at Once,8.2,2022,R
The Orville,8.0,2017– ,12+
Independence Day,7.0,1996,UA
Spiderhead,5.4,2022,A
Lightyear,5.3,2022,U
Rocketry: The Nambi Effect,9.2,2022,UA
Nope, ,2022,R
For All Mankind,7.9,2019– ,A
Manifest,7.1,2018– ,16
Severance,8.7,2022– ,A
Maggie,7.0,2022– ,UA 13+
Thor: Ragnarok,7.9,2017,UA
The Undeclared War,6.5,2022– , 
Spider-Man: No Way Home,8.3,2021,UA
The Mandalorian,8.7,2019– ,U
"Love, Death & Robots",8.4,2019– ,18
The Flash,7.6,2014– ,12+
Moonhaven,4.4,2022– , 
Crimes of the Future,5.9,2022,R
Morbius,5.2,2022,UA
Doctor Who,8.6,2005– ,U
Black Mirror,8.8,2011–2019,A
The Sandman, ,2022– , 
Jurassic Park,8.2,1993,UA
American Horror Story,8.0,2011– ,A
Avatar: The Way of Water, ,2022, 
The Time Traveler's Wife,7.7,2022,UA 16+
Lost,8.3,2004–2010,A
Minions,6.4,2015,U
Halo,7.0,2022– ,UA 13+
Dune: Part One,8.0,2021,UA
Ghostbusters: Afterlife,7.1,2021,UA
Avengers: Endgame,8.4,2019,UA
Rick and Morty,9.2,2013– ,16+
The Man Who Fell to Earth,6.9,2022– ,UA 13+
Dark,8.7,2017–2020,16+
Star Wars: The Clone Wars,8.4,2008–2020,PG
The X Files,8.6,1993–2018, 
Eternals,6.3,2021,UA
