Title,Review,Year Of Release,Certificate Rating
Thor: Love and Thunder,6.9,2022,UA
The Boys,8.7,2019– , 
The Umbrella Academy,8.0,2019–2022, 
Doctor Strange in the Multiverse of Madness,7.0,2022,16+
Ms. Marvel,6.2,2022– , 
Obi-Wan Kenobi,7.1,2022, 
Lightyear,5.3,2022,UA 13+
The Batman,7.9,2022, 
Thor: Ragnarok,7.9,2017, 
Spider-Man: No Way Home,8.3,2021,U
The Mandalorian,8.7,2019– , 
The Flash,7.6,2014– , 
Morbius,5.2,2022,UA
Moon Knight,7.4,2022, 
The Sandman, ,2022– , 
Thor,7.0,2011,U
Avengers: Endgame,8.4,2019, 
Eternals,6.3,2021, 
One Piece: Wan pîsu,8.8,1999– ,UA
Hellboy,5.2,2019, 
Sonic the Hedgehog 2,6.6,2022, 
Superman & Lois,7.8,2021– , 
The Dark Knight,9.0,2008,UA
Thor: The Dark World,6.8,2013, 
The Book of Boba Fett,7.3,2021– , 
Riverdale,6.6,2017– ,UA
Baymax!,6.6,2022– , 
WandaVision,7.9,2021, 
Invincible,8.7,2021– ,R
Buffy the Vampire Slayer,8.3,1997–2003, 
The Dark Knight Rises,8.4,2012, 
DC League of Super-Pets, ,2022, 
Titans,7.6,I) (2018– , 
Black Adam, ,2022, 
Black Panther: Wakanda Forever, ,2022,UA
Daredevil,8.6,2015–2018, 
Doctor Strange,7.5,2016, 
Avengers: Infinity War,8.4,2018,13+
Loki,8.2,2021– , 
Chip 'n Dale: Rescue Rangers,7.0,2022, 
Black Widow,6.7,2021,12+
The Suicide Squad,7.2,2021, 
Guardians of the Galaxy,8.0,2014, 
Smallville,7.5,2001–2017,A
Shang-Chi and the Legend of the Ten Rings,7.4,2021, 
Quantum Leap,8.2,1989–1993, 
Suicide Squad,5.9,2016,PG
Arrow,7.5,2012–2020,A
Captain America: The First Avenger,6.9,2011, 
Agents of S.H.I.E.L.D.,7.5,2013–2020, 
