Title,Review,Year Of Release,Certificate Rating
Stranger Things,8.7,2016– ,15
The Terminal List,8.1,2022– ,A
The Old Man,8.4,2022– , 
Only Murders in the Building,8.1,2021– ,UA 16+
The Black Phone,7.2,2021,A
Jurassic World Dominion,5.8,2022,UA
The Princess,5.5,I) (2022,A
The Man from Toronto,5.8,2022,UA 13+
Black Bird,8.4,2022,A
Breaking Bad,9.5,2008–2013,18
Last Night in Soho,7.1,2021,A
Spiderhead,5.4,2022,A
The Walking Dead,8.2,2010–2022,18+
Dark Winds,8.0,2022– ,18
Nope, ,2022,R
Supernatural,8.4,2005–2020,16+
The Northman,7.2,2022,R
Ozark,8.5,2017–2022,16+
Manifest,7.1,2018– ,16
Severance,8.7,2022– ,A
Where the Crawdads Sing,6.9,2022,PG-13
The Unbearable Weight of Massive Talent,7.1,2022,A
The Lincoln Lawyer,7.7,2022– ,UA 16+
Terror on the Prairie,5.9,2022, 
NCIS: Naval Criminal Investigative Service,7.8,2003– ,16
X,6.6,II) (2022,R
The Undeclared War,6.5,2022– , 
"Love, Death & Robots",8.4,2019– ,18
The Staircase,7.2,2022,18
Under the Banner of Heaven,7.5,2022,U
Law & Order: Special Victims Unit,8.1,1999– , 
Criminal Minds,8.1,2005–2020, 
Bullet Train, ,2022, 
No Time to Die,7.3,2021,UA
Morbius,5.2,2022,UA
The Gray Man,6.8,2022,UA 16+
The Blacklist,8.0,2013– ,16+
The Wire,9.3,2002–2008,15+
The Handmaid's Tale,8.4,2017– ,A
Black Mirror,8.8,2011–2019,A
True Detective,8.9,2014–2019,A
Jurassic Park,8.2,1993,UA
American Horror Story,8.0,2011– ,A
Reacher,8.1,2022– ,A
Avatar: The Way of Water, ,2022, 
Watcher,6.3,I) (2022,R
Lost,8.3,2004–2010,A
Halo,7.0,2022– ,UA 13+
Banshee,8.4,2013–2016,18
La casa de papel,8.2,2017–2021,16+
